Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
3819,Soundcore Liberty Air 2 Wireless Bluetooth In Ear Earbuds with Mic (Black),"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hieEGpybL._AC_UL320_.jpg,https://www.amazon.in/Soundcore-Bluetooth-Earphones-Personalized-Cancelling/dp/B07SKJNCXM/ref=sr_1_3823?qid=1679128922&s=electronics&sr=1-3823,4.2,11698.0,7542.0,11542.0
87,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61pBvlYVPxL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Feet/dp/B014I8SSD0/ref=sr_1_94?qid=1679128127&s=electronics&sr=1-94,4.4,437652.0,269.0,475.0
555,ROYAL SON Women Oversized Sunglasses,women's clothing,Clothing,https://m.media-amazon.com/images/I/714TwhGeyvL._AC_UL320_.jpg,https://www.amazon.in/ROYAL-SON-Polarized-Protected-Sunglasses/dp/B08534NSBW/ref=sr_1_564?qid=1679152759&s=apparel&sr=1-564,4.0,839.0,629.0,1999.0
321,"FLiX (Beetel) USB to iPhone Lightning Textured Pattern Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Syn...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41+8+OlqCTL._AC_UL320_.jpg,https://www.amazon.in/FLiX-Beetel-Durable-Lightning-Charge/dp/B08P9RYPLR/ref=sr_1_325?qid=1679128141&s=electronics&sr=1-325,4.0,10079.0,149.0,249.0
183,ENVIE® (ECR-20 MC) Cooper Rechargeable Battery Charger for AA & AAA Ni-mh Batteries with LED Indicator,"tv, audio & cameras",Cameras,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6161NXWtz-L._AC_UL320_.jpg,https://www.amazon.in/ECR-20-MC-Rechargeable-Compatible/dp/B08DTYB4MS/ref=sr_1_190?qid=1679129928&s=electronics&sr=1-190,3.8,15284.0,279.0,375.0
1984,"SanDisk Ultra microSD UHS-I Card 512GB, 120MB/s R","tv, audio & cameras",Cameras,https://m.media-amazon.com/images/I/61cUEOS-UYL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra-microSD-UHS-I-512GB/dp/B08L87V4PH/ref=sr_1_1991?qid=1679130036&s=electronics&sr=1-1991,4.4,71768.0,3698.0,15000.0
377,SanDisk 128GB Class 10 microSDXC Memory Card with Adapter (SDSQUAR-128G-GN6MA),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/617NtexaW2L._AC_UL320_.jpg,https://www.amazon.in/SanDisk-microSDXC-Memory-Adapter-SDSQUAR-128G-GN6MA/dp/B073JYC4XM/ref=sr_1_384?qid=1679132575&s=electronics&sr=1-384,4.3,589547.0,1705.0,3999.0
8607,AO Smith HeatBot-SZS-015 - SILVER Storage 15 Litre Vertical Water Heater (Geyser) Silver - 4 Star,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71LCgwJ3MfL._AC_UL320_.jpg,https://www.amazon.in/Smith-HeatBot-SZS-015-Storage-Vertical/dp/B07VHVP1NY/ref=sr_1_8632?qid=1679136076&s=appliances&sr=1-8632,4.4,669.0,11999.0,17500.0
717,Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71RNJ5AGNBL._AC_UL320_.jpg,https://www.amazon.in/Acer-inches-Ultra-Android-AR55AR2851UDFL/dp/B0B1YZ9CB8/ref=sr_1_720?qid=1679133693&s=electronics&sr=1-720,4.4,7944.0,29999.0,47990.0
14,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51tFAbNRaPL._AC_UL320_.jpg,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_20?qid=1679133649&s=electronics&sr=1-20,3.9,172347.0,1299.0,4490.0
73,boAt Bassheads 220 Wired in Ear Earphones(Indi Lime),"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/I/61sgEDKoIZL._AC_UL320_.jpg,https://www.amazon.in/boAt-Bassheads-220-Wired-Earphones/dp/B0BRXVSL7X/ref=sr_1_77?qid=1679128670&s=electronics&sr=1-77,4.1,276491.0,399.0,999.0
139,Allextreme EXHDBL1 Stainless Steel Heavy Duty Painted Finish Disc Brake Anti Theft 7mm Pin Wheel Locking Security Lock for...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/513KyPZTCuL._AC_UL320_.jpg,https://www.amazon.in/AllExtreme-EXHDBL1-Stainless-Security-Motorcycle/dp/B07N8T9ST3/ref=sr_1_788?qid=1679214461&s=kitchen&sr=1-788,4.1,7201.0,295.0,349.0
813,SanDisk 16GB Ultra MicroSDHC Memory Card (SDSQUAR-016G-GN6MN),"tv, audio & cameras",Cameras,https://m.media-amazon.com/images/I/814kvapmaaS._AC_UL320_.jpg,https://www.amazon.in/Sandisk-Ultra-Microsdhc-Microsd-Memory/dp/B074KFQ55Q/ref=sr_1_820?qid=1679129965&s=electronics&sr=1-820,4.3,589547.0,495.0,500.0
556,"Philips Norelco OneBlade First Shave Teen Hybrid Electric Shaver, QP2515/49",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/610hwvYmEcL._AC_UL320_.jpg,https://www.amazon.in/Philips-OneBlade-Electric-QP2515-49/dp/B09MZVZ75S/ref=sr_1_4061?qid=1679215901&s=hpc&sr=1-4061,4.6,43682.0,7128.0,10230.0
5475,"Fitbit FB507RGPK Versa 2 Health & Fitness Smartwatch with Heart Rate, Music, Alexa Built-in, Sleep & Swim Tracking, Petal/...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61L5Jko2QqL._AC_UL320_.jpg,https://www.amazon.in/Fitbit-FB507RGPK-Smartwatch-Tracking-Included/dp/B07TVC2KLW/ref=sr_1_5478?qid=1679133993&s=electronics&sr=1-5478,4.1,143611.0,11880.0,14999.0
27,Samsung EVO Plus 256GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC256KA),"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/71yD4EP3G4L._AC_UL320_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC256KA/dp/B09MT6SWDL/ref=sr_1_31?qid=1679132555&s=electronics&sr=1-31,4.3,142840.0,1729.0,4999.0
37,"Amazon Basics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71gEiWJNPeL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_44?qid=1679128124&s=electronics&sr=1-44,4.4,437652.0,269.0,700.0
